-
lbp_ir_grey_knn_5,71.5774,56.5476,22.0,50.0417,2021-07-06 09:45:16.610397
lbp_ir_red_knn_5,73.3333,55.4762,22.0,50.2698,2021-07-06 09:45:16.880053
fourier_grey_knn_5,53.3333,29.0476,20.5714,34.3174,2021-07-06 09:45:18.592915
fourier_red_knn_5,51.9345,26.3095,22.5714,33.6051,2021-07-06 09:45:20.289358
lbp_ir_grey_knn_5,71.0119,56.6667,22.2857,49.9881,2021-07-06 09:46:42.703871
lbp_ir_red_knn_5,73.125,54.2857,22.2857,49.8988,2021-07-06 09:46:42.971586
fourier_grey_knn_5,52.381,28.0952,21.7143,34.0635,2021-07-06 09:46:44.695067
fourier_red_knn_5,53.6607,27.381,22.8571,34.6329,2021-07-06 09:46:46.392047
lbp_ir_grey-lbp_ir_red_knn_5,72.6488,58.0952,28.0,52.9147,2021-07-06 10:03:37.449555
lbp_ir_grey-fourier_grey_knn_5,57.7679,33.3333,26.5714,39.2242,2021-07-06 10:03:39.534624
lbp_ir_grey-fourier_red_knn_5,57.6488,35.4762,26.8571,39.994,2021-07-06 10:03:41.570387
lbp_ir_grey-geo_grey_knn_5,72.381,59.2857,32.5714,54.746,2021-07-06 10:03:42.007704
lbp_ir_grey-geo_red_knn_5,72.4107,57.7381,28.0,52.7163,2021-07-06 10:03:42.442426
lbp_ir_grey-gab_grey_knn_5,73.3333,59.6429,28.0,53.6587,2021-07-06 10:03:43.249708
lbp_ir_grey-gab_red_knn_5,73.9286,54.7619,31.4286,53.373,2021-07-06 10:03:44.061186
lbp_ir_grey-har_grey_knn_5,76.5774,61.0714,28.5714,55.4067,2021-07-06 10:03:44.573429
lbp_ir_grey-har_red_knn_5,77.3512,63.0952,33.7143,58.0536,2021-07-06 10:03:45.104733
lbp_ir_red-fourier_grey_knn_5,56.5179,35.119,24.0,38.5456,2021-07-06 10:03:47.139864
lbp_ir_red-fourier_red_knn_5,56.3988,36.7857,26.8571,40.0139,2021-07-06 10:03:49.196599
lbp_ir_red-geo_grey_knn_5,71.4583,55.3571,28.8571,51.8908,2021-07-06 10:03:49.646456
lbp_ir_red-geo_red_knn_5,72.619,57.5,27.7143,52.6111,2021-07-06 10:03:50.107855
lbp_ir_red-gab_grey_knn_5,72.8571,57.381,26.0,52.0794,2021-07-06 10:03:50.951935
lbp_ir_red-gab_red_knn_5,73.8393,57.0238,26.0,52.2877,2021-07-06 10:03:51.775724
lbp_ir_red-har_grey_knn_5,76.994,62.0238,32.0,57.0059,2021-07-06 10:03:52.332009
